Account,Link,Tenemos datos?,Fecha ultima actualización data ,similar a ,Followers,1ra Categoría,2da Categoría,3ra Categoría,ER,% Male,% Female,M 13-17,M 18-24,M 25-34,M 35-44,M 45-54,M 55-64,"M ""+65""",F 13-17,F 18-24,F 25-34,F 35-44,F 45-54,F 55-64,"F ""+65""",Argentina,Other,CPM historico,Tiene Fee Plataforma?,REPRESENTANTE,Nombre Perfil
julietanaircalvo,https://www.instagram.com/julietanaircalvo,Si,9/9/2020,,2939735,Actor/Actress,Model,,0.01,0.31,0.69,0.03,0.30,0.42,0.16,0.04,0.01,0.01,0.04,0.32,0.42,0.14,0.04,0.01,0.03,0.85,0.15,0,no,si,si
juliinaircalvoTK,https://www.instagram.com/juliinaircalvoTK,No,2/11/2018,julietanaircalvo,218500,Actor/Actress,,,0.01,0.31,0.69,0.03,0.30,0.42,0.16,0.04,0.01,0.04,0.04,0.32,0.42,0.14,0.04,0.01,0.03,0.85,0.15,,no,si,si
justabustos,https://www.instagram.com/justabustos,No,11/8/2019,m.klooster,554000,Actor/Actress,,,0.02,0.29,0.71,0.05,0.28,0.40,0.20,0.05,0.01,0.01,0.06,0.32,0.40,0.16,0.04,0.01,0.01,0.69,0.31,0,,,
karinamazzocco,https://www.instagram.com/karinamazzocco,Si,21/11/19,andreafrigeriook,101000,Actor/Actress,,,0.01,0.31,0.69,0.01,0.05,0.26,0.41,0.19,0.06,0.02,0.00,0.04,0.28,0.41,0.20,0.05,0.02,0.91,0.09,,,,
karolsevillaofc,https://www.instagram.com/karolsevillaofc,No,12/26/2018,katumartinez,9149235,Actor/Actress,,,0.04,0.30,0.70,0.13,0.38,0.21,0.15,0.09,0.02,0.02,0.22,0.44,0.18,0.10,0.04,0.01,0.01,0.17,0.83,0,no,si,si
kerpaloma,https://www.instagram.com/kerpaloma,No,28/11/2018,caamigordillo,58200,Actor/Actress,,,0.01,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.50,0.50,,,,
kerpaloma,https://www.instagram.com/kerpaloma,No,4/6/2020,candelivetrano,57986,Actor/Actress,,,"1,5%",0.15,0.85,0.03,0.28,0.41,0.16,0.06,0.01,0.05,0.04,0.36,0.42,0.10,0.03,0.00,0.05,0.82,0.18,,,,
lacallejonok TK,https://www.instagram.com/lacallejonok TK,No,6/8/2022,fercallejon,321,Actor/Actress,,,0.01,0.20,0.80,0.02,0.14,0.37,0.31,0.11,0.03,0.02,0.01,0.12,0.43,0.31,0.09,0.03,0.01,0.90,0.10,,,,
lacalurivero,https://www.instagram.com/lacalurivero,No,4/2/2020,candelivetrano,1000000,Actor/Actress,,,0.00,0.15,0.85,0.03,0.28,0.41,0.16,0.06,0.01,0.05,0.04,0.36,0.42,0.10,0.03,0.00,0.05,0.55,0.45,,,,
lalioficial,https://www.instagram.com/lalioficial,No,30/04/20,orianasabatini,7400000,Actor/Actress,Celebrities,,0.02,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,,,
laucymer,https://www.instagram.com/laucymer,No,10/2/2020,candelivetrano,144000,Actor/Actress,,,0.02,0.15,0.85,0.03,0.28,0.41,0.16,0.06,0.01,0.05,0.04,0.36,0.42,0.10,0.03,0.00,0.05,0.82,0.18,,,,
laura_tobon,https://www.instagram.com/laura_tobon,No,3/27/2019,zaira.nara,2100000,Actor/Actress,,,0.02,0.26,0.74,0.04,0.31,0.41,0.16,0.05,0.02,0.01,0.04,0.31,0.41,0.16,0.05,0.02,0.01,0.11,0.89,0,,,
lauraazcurra,https://www.instagram.com/lauraazcurra,No,10/2/2020,malesanchezw,72700,Actor/Actress,,,0.03,0.19,0.81,0.02,0.24,0.48,0.19,0.05,0.01,0.01,0.03,0.29,0.49,0.14,0.04,0.01,0.00,0.71,0.29,,,,
leonorabalcarce,https://www.instagram.com/leonorabalcarce,No,10/2/2020,juli_zylberberg,63100,Actor/Actress,,,0.03,0.19,0.81,0.02,0.24,0.48,0.19,0.05,0.01,0.01,0.03,0.29,0.49,0.14,0.04,0.01,0.00,0.71,0.29,,,,
leonorabalcarce,https://www.instagram.com/leonorabalcarce,No,18/06/2020,petersoncarla,62785,Actor/Actress,,,"2,6%",0.18,0.82,0.03,0.27,0.45,0.18,0.05,0.01,0.01,0.02,0.25,0.47,0.19,0.05,0.01,0.01,0.91,0.09,,,,
letisiciliani,https://www.instagram.com/letisiciliani,Si,9/6/2022,,1400000,Actor/Actress,,,0.01,0.17,0.83,0.02,0.26,0.40,0.20,0.07,0.01,0.04,0.02,0.27,0.44,0.17,0.05,0.01,0.04,0.86,0.14,,,,
letisiciliani TK,https://www.instagram.com/letisiciliani TK,No,2/2/2022,letisiciliani,241600,Actor/Actress,,,0.01,0.17,0.83,0.02,0.26,0.40,0.20,0.07,0.01,0.04,0.02,0.27,0.44,0.17,0.05,0.01,0.04,0.86,0.14,,,,
letisiciliani tw,https://www.instagram.com/letisiciliani tw,No,2/7/2019,letisiciliani,164300,Actor/Actress,,,0.01,0.17,0.83,0.02,0.26,0.40,0.20,0.07,0.01,0.04,0.02,0.27,0.44,0.17,0.05,0.01,0.04,0.86,0.14,,,,
lolafonca,https://www.instagram.com/lolafonca,No,16/12/2019,malepichot,361000,Actor/Actress,,,0.04,0.16,0.84,0.02,0.23,0.42,0.23,0.07,0.02,0.01,0.03,0.29,0.45,0.17,0.04,0.01,0.01,0.87,0.13,,,,
lolitamoran,https://www.instagram.com/lolitamoran,Si,26/12/19,jennum94,552000,Actor/Actress,,,0.02,0.24,0.76,0.05,0.36,0.36,0.15,0.06,0.01,0.01,0.08,0.48,0.31,0.08,0.03,0.01,0.01,0.76,0.24,0,,,
lolopoggio1234,https://www.instagram.com/lolopoggio1234,No,5/15/2019,valenmadanes,67200,Actor/Actress,Model,,0.17,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,
lucasvelascook,https://www.instagram.com/lucasvelascook,No,10/12/2020,lizardoponce,549000,Actor/Actress,LifeStyle,,0.01,0.14,0.86,0.07,0.38,0.35,0.13,0.05,0.01,0.01,0.08,0.45,0.32,0.10,0.03,0.01,0.01,0.76,0.24,,,,
lucianocaceresok,https://www.instagram.com/lucianocaceresok,No,9/6/2020,ludovicods,153011,Actor/Actress,,,0.01,0.10,0.90,0.04,0.34,0.46,0.13,0.03,0.00,0.00,0.04,0.34,0.46,0.13,0.03,0.00,0.00,0.93,0.07,,,,
ludovicods,https://www.instagram.com/ludovicods,Parcial,8/1/2018,alfonsobenja,342601,Actor/Actress,model,,0.06,0.10,0.90,0.04,0.34,0.46,0.13,0.03,0.00,0.00,0.04,0.34,0.46,0.13,0.03,0.00,0.00,0.93,0.07,0,,,
lulilapri,https://www.instagram.com/lulilapri,Si,12/22/2021,,471000,Actor/Actress,model,,0.03,0.24,0.76,0.04,0.36,0.39,0.15,0.04,0.01,0.01,0.07,0.40,0.36,0.12,0.03,0.01,0.01,0.89,0.11,0,,,
lulydrozdek,https://www.instagram.com/lulydrozdek,No,19/06/2020,eugeniatobal,149000,Actor/Actress,,,"1,2%",0.20,0.80,0.02,0.14,0.37,0.31,0.11,0.03,0.02,0.01,0.12,0.43,0.31,0.09,0.03,0.01,0.90,0.10,,,,
macapazok,https://www.instagram.com/macapazok,Si,20/08/20,,74300,Actor/Actress,,,0.01,0.25,0.75,0.02,0.23,0.44,0.20,0.06,0.01,0.04,0.04,0.32,0.45,0.12,0.03,0.00,0.04,0.80,0.20,,si,no,no
maitelanatamai,https://www.instagram.com/maitelanatamai,Si,6/1/2020,,551000,Actor/Actress,,,0.04,0.20,0.80,0.03,0.28,0.41,0.16,0.06,0.01,0.05,0.05,0.36,0.39,0.14,0.04,0.01,0.01,0.80,0.20,0,,,
malenasoldaok,https://www.instagram.com/malenasoldaok,Si,21/05/20,,67200,Actor/Actress,,,0.01,0.20,0.80,0.01,0.09,0.31,0.39,0.14,0.03,0.03,0.01,0.11,0.38,0.36,0.09,0.02,0.03,0.89,0.11,,,,
malenavilla,https://www.instagram.com/malenavilla,No,21/05/20,malena.narvay,83300,Actor/Actress,,,0.11,0.23,0.77,0.08,0.46,0.29,0.11,0.04,0.01,0.01,0.13,0.48,0.25,0.09,0.03,0.01,0.01,0.82,0.18,,,,
malesanchezw,https://www.instagram.com/malesanchezw,Si,2/4/2022,,368000,Actor/Actress,,,0.03,0.19,0.82,0.02,0.24,0.48,0.19,0.05,0.01,0.01,0.03,0.29,0.49,0.14,0.04,0.01,0.00,0.71,0.09,0,,,
mansillalourdes,https://www.instagram.com/mansillalourdes,No,2/11/2020,domenechcaro,123000,Actor/Actress,,,0.07,0.18,0.82,0.07,0.43,0.29,0.12,0.06,0.02,0.01,0.13,0.50,0.22,0.09,0.04,0.01,0.01,0.70,0.30,,,,
manu.pal,https://www.instagram.com/manu.pal,Si,25/11/20,,357000,Actor/Actress,,,0.00,0.15,0.85,0.02,0.20,0.42,0.24,0.09,0.02,0.01,0.02,0.20,0.49,0.21,0.06,0.02,0.01,0.89,0.11,0,si,no,no
manuramos9,https://www.instagram.com/manuramos9,Parcial,27/08/20,domenechcaro,221296,Actor/Actress,,,0.06,0.09,0.91,0.07,0.43,0.29,0.12,0.06,0.02,0.01,0.13,0.50,0.22,0.09,0.04,0.01,0.01,0.46,0.54,,,,
mar1908,https://www.instagram.com/mar1908,Si,27/11/2019,,401000,Actor/Actress,,,0.01,0.12,0.88,0.02,0.22,0.42,0.23,0.08,0.02,0.01,0.02,0.24,0.45,0.21,0.06,0.01,0.01,0.90,0.10,,,,
marconijuan,https://www.instagram.com/marconijuan,Si,11/8/2019,,173240,Actor/Actress,model,deporte,0.02,0.38,0.62,0.04,0.39,0.41,0.11,0.03,0.01,0.01,0.04,0.37,0.44,0.11,0.03,0.01,0.00,0.88,0.12,0,,,
mariannmartinez tw,https://www.instagram.com/mariannmartinez tw,No,19/06/2019,marianom78,1680000,Actor/Actress,,,0.01,0.13,0.87,0.10,0.40,0.30,0.12,0.06,0.01,0.01,0.12,0.47,0.27,0.09,0.03,0.01,0.01,0.78,0.22,,,,
marianom78,https://www.instagram.com/marianom78,No,2/11/2018,gsoffritti,2186654,Actor/Actress,,,0.01,0.13,0.87,0.10,0.40,0.30,0.12,0.06,0.01,0.01,0.12,0.47,0.27,0.09,0.03,0.01,0.01,0.78,0.22,0,,,
mariel_percossi,https://www.instagram.com/mariel_percossi,Si,23/03/20,,83000,Actor/Actress,,,0.01,0.13,0.87,0.01,0.37,0.45,0.11,0.04,0.01,0.01,0.03,0.51,0.38,0.06,0.02,0.01,-0.01,0.62,0.38,,,,
marielpercossi tw,https://twitter.com/MarielPercossi,Si,9/15/2021,mariel_percossi,225300,Actor/Actress,,,0.01,0.13,0.87,0.01,0.37,0.45,0.11,0.04,0.01,0.01,0.03,0.51,0.38,0.06,0.02,0.01,-0.01,0.62,0.38,,,,
martarresok_,https://www.instagram.com/martarresok_,No,21/04/20,onlinemami_,1100000,Actor/Actress,,,0.01,0.10,0.90,0.05,0.45,0.36,0.09,0.03,0.01,0.01,0.07,0.50,0.34,0.06,0.02,0.00,0.01,0.80,0.20,,,,
mateodonadio,https://www.youtube.com/mateodonadio,No,1/15/2019,furtadonico,181000,Actor/Actress,,,0.25,0.11,0.89,0.03,0.25,0.47,0.17,0.06,0.02,0.01,0.02,0.31,0.49,0.14,0.03,0.00,0.01,0.80,0.20,,,,
matiasmayer,https://www.instagram.com/matiasmayer,Si,16/09/20,,331000,Actor/Actress,,,0.03,0.12,0.88,0.04,0.27,0.44,0.17,0.06,0.02,0.00,0.03,0.28,0.47,0.15,0.05,0.02,0.01,0.88,0.12,,,,
matiasnapp,https://www.instagram.com/matiasnapp,No,12/6/2019,dariobarassi,1000000,Actor/Actress,Celebrities,,0.01,0.23,0.77,0.03,0.24,0.45,0.21,0.05,0.01,0.01,0.03,0.25,0.43,0.20,0.06,0.02,0.01,0.91,0.09,0,si,si,si
mcelestia,https://www.instagram.com/mcelestia,No,3/18/2019,m.klooster,2200000,Actor/Actress,Celebrities,,0.04,0.24,0.76,0.05,0.28,0.40,0.20,0.05,0.01,0.01,0.06,0.32,0.40,0.16,0.04,0.01,0.01,0.86,0.14,0,,,
mcelestia,https://www.instagram.com/mcelestia,No,11/8/2019,m.klooster,1981593,Actor/Actress,,,0.01,0.24,0.76,0.05,0.28,0.40,0.20,0.05,0.01,0.01,0.06,0.32,0.40,0.16,0.04,0.01,0.01,0.86,0.14,,,,
meligarat,https://www.instagram.com/meligarat,No,2/1/2019,lulilapri,172803,Actor/Actress,Model,,0.05,0.24,0.76,0.04,0.36,0.39,0.15,0.04,0.01,0.01,0.07,0.40,0.36,0.12,0.03,0.01,0.01,0.80,0.20,,,,
memefunes,https://www.instagram.com/memefunes,No,28/11/2018,m.klooster,402000,Actor/Actress,,,0.02,0.24,0.76,0.05,0.28,0.40,0.20,0.05,0.01,0.01,0.06,0.32,0.40,0.16,0.04,0.01,0.01,0.86,0.14,,,,
memefunes,https://www.instagram.com/memefunes,No,4/6/2020,agustinacherriok,385000,Actor/Actress,,,0.00,0.24,0.76,0.05,0.28,0.40,0.20,0.05,0.01,0.01,0.06,0.32,0.40,0.16,0.04,0.01,0.01,0.86,0.14,,,,
mercedesmoranok,https://www.instagram.com/mercedesmoranok,No,10/2/2020,andreafrigeriook,46900,Actor/Actress,,,0.01,0.24,0.76,0.01,0.10,0.31,0.35,0.16,0.05,0.02,0.01,0.12,0.32,0.30,0.17,0.06,0.02,0.88,0.12,,,,
micavazquezok,https://www.instagram.com/micavazquezok,No,8/4/2020,nicoocchiato,1300000,Actor/Actress,Tele,,0.02,0.16,0.84,0.02,0.19,0.44,0.23,0.08,0.03,0.02,0.02,0.19,0.44,0.23,0.08,0.03,0.02,0.88,0.12,0,,,
micavazquezok tk,https://www.instagram.com/micavazquezok tk,No,2/14/2019,micavazquezok,322700,Actor/Actress,Tele,,0.20,0.16,0.84,0.02,0.19,0.44,0.23,0.08,0.03,0.02,0.02,0.19,0.44,0.23,0.08,0.03,0.02,0.88,0.12,0,,,
mik3amigorena_,https://www.instagram.com/mik3amigorena_,No,29/11/2019,guilera_juan,161000,Actor/Actress,,,0.03,0.11,0.89,0.03,0.25,0.47,0.17,0.06,0.02,0.01,0.02,0.31,0.49,0.14,0.03,0.00,0.01,0.80,0.20,,,,
mik3amigorena_,https://www.instagram.com/mik3amigorena_,No,27/11/19,dariobarassi,137,Actor/Actress,,,0.01,0.23,0.77,0.03,0.24,0.45,0.21,0.05,0.01,0.01,0.03,0.25,0.43,0.20,0.06,0.02,0.01,0.91,0.09,,,,
milaclaudeville,https://www.instagram.com/milaclaudeville,No,10/2/2020,julietanaircalvo,39100,Actor/Actress,,,0.02,0.31,0.69,0.03,0.30,0.42,0.16,0.04,0.01,0.04,0.04,0.32,0.42,0.14,0.04,0.01,0.03,0.85,0.15,,,,
mirtabusnelli,https://www.instagram.com/mirtabusnelli,No,10/2/2020,andreafrigeriook,11200,Actor/Actress,,,0.02,0.24,0.76,0.01,0.10,0.31,0.35,0.16,0.05,0.02,0.01,0.12,0.32,0.30,0.17,0.06,0.02,0.88,0.12,,,,
monnaantonopulos,https://www.instagram.com/monnaantonopulos,No,4/2/2020,m.klooster,253000,Actor/Actress,,,0.01,0.24,0.76,0.05,0.28,0.40,0.20,0.05,0.01,0.01,0.06,0.32,0.40,0.16,0.04,0.01,0.01,0.86,0.14,,,,
murielsanta.ana,https://www.instagram.com/murielsanta.ana,No,10/2/2020,eleowexler,69100,Actor/Actress,,,0.02,0.14,0.87,0.01,0.11,0.42,0.31,0.11,0.03,0.01,0.01,0.12,0.49,0.27,0.08,0.02,0.01,0.89,0.11,,,,
nahuelmutti,https://www.instagram.com/nahuelmutti,No,4/15/2019,riflevarela,38400,Actor/Actress,,,0.01,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,
nareclausen,https://www.instagram.com/nareclausen,Si,6/18/2019,,108000,Actor/Actress,,,0.05,0.18,0.82,0.08,0.35,0.31,0.14,0.07,0.02,0.01,0.17,0.38,0.26,0.11,0.05,0.01,0.01,0.79,0.21,,,,
negraconte,https://www.instagram.com/negraconte,No,6/15/2021,flor_de_p,131000,Actor/Actress,,,0.02,0.35,0.65,0.03,0.22,0.40,0.22,0.09,0.03,0.01,0.03,0.23,0.39,0.22,0.08,0.03,0.01,0.88,0.12,,,,
nequigalotti,https://www.instagram.com/nequigalotti,Si,6/29/2021,,173000,Actor/Actress,,,0.01,0.15,0.85,"1,2%",#N/A,0.28,0.31,0.19,"7,2%","3,3%","0,4%","5,3%",0.25,0.32,0.22,0.11,"4,3%",0.91,0.09,,,,
nico__riera,https://www.instagram.com/nico__riera,No,28/03/2019,andresgill,801000,Actor/Actress,,,0.03,0.08,0.92,0.11,0.40,0.24,0.11,0.10,0.02,0.02,0.12,0.54,0.24,0.06,0.03,0.00,0.01,0.70,0.30,,,,
nicovazquezok,https://www.instagram.com/nicovazquezok,No,12/6/2019,dariobarassi,3800000,Actor/Actress,Celebrities,,0.03,0.23,0.77,0.03,0.24,0.45,0.21,0.05,0.01,0.01,0.03,0.25,0.43,0.20,0.06,0.02,0.01,0.91,0.09,0,si,si,si
paola_krum,https://www.instagram.com/paola_krum,No,5/11/2021,vivisacconeok,151000,Actor/Actress,,,0.03,0.44,0.56,0.01,0.06,0.32,0.36,0.18,0.06,0.02,0.00,0.05,0.31,0.36,0.18,0.07,0.03,0.97,0.03,,,,
paprykaok,https://www.instagram.com/paprykaok,Si,10/6/2022,,545540,Actor/Actress,Humor,,0.04,0.28,0.72,0.06,0.47,0.32,0.09,0.04,0.01,0.01,0.09,0.49,0.27,0.09,0.04,0.01,0.01,0.70,0.30,,,,
paulinreca,https://www.instagram.com/paulinreca,No,12/11/2020,candelivetrano,66100,Actor/Actress,,,0.02,0.15,0.85,0.03,0.28,0.41,0.16,0.06,0.01,0.05,0.04,0.36,0.42,0.10,0.03,0.00,0.05,0.82,0.18,,,,
paumoralesok,https://www.instagram.com/paumoralesok,Si,8/8/2022,,101000,Actor/Actress,,,0.01,0.18,0.80,0.01,0.16,0.39,0.31,0.10,0.02,0.01,0.02,0.19,0.46,0.25,0.06,0.01,0.01,0.87,0.13,,,,
pauperassook,https://www.instagram.com/pauperassook,No,7/5/2020,pau_bosio,16400,Actor/Actress,,,0.01,0.14,0.86,0.02,0.20,0.42,0.25,0.08,0.02,0.01,0.01,0.25,0.43,0.21,0.07,0.02,0.01,0.94,0.06,,,,
petersoncarla,https://www.instagram.com/petersoncarla,Parcial,16/10/20,juanminujin,1500000,Actor/Actress,,,0.02,0.18,0.82,0.03,0.27,0.45,0.18,0.05,0.01,0.01,0.02,0.25,0.47,0.19,0.05,0.01,0.01,0.91,0.09,0,no,si,si
petitjotao,https://www.instagram.com/petitjotao,No,3/19/2019,candelivetrano,277000,Actor/Actress,,,0.02,0.20,0.80,0.03,0.28,0.41,0.16,0.06,0.01,0.05,0.04,0.36,0.42,0.10,0.03,0.00,0.05,0.82,0.18,0,,,
pin_montane,https://www.instagram.com/pin_montane,No,3/27/2019,jennum94,597000,Actor/Actress,Model,,0.02,0.17,0.83,0.05,0.42,0.33,0.12,0.05,0.02,0.01,0.09,0.52,0.27,0.07,0.03,0.01,0.01,f,1.00,0,,,
renatablasevich,https://www.instagram.com/renatablasevich,No,2/8/2022,celes.salas,132000,Actor/Actress,,,0.09,0.33,0.67,0.09,0.42,0.30,0.11,0.06,0.01,0.01,0.13,0.38,0.25,0.14,0.07,0.01,0.02,0.80,0.20,,,,
reynareechok,https://www.instagram.com/reynareechok,Parcial,19/08/2020,juanarepettook,455000,Actor/Actress,,,0.01,0.15,0.85,0.02,0.20,0.39,0.25,0.09,0.03,0.02,0.01,0.16,0.45,0.26,0.08,0.03,0.01,0.76,0.24,,,,
rojas_benja,https://www.instagram.com/rojas_benja,No,19/06/2019,nicovazquezok,1400000,Actor/Actress,,,0.02,0.45,0.55,0.03,0.24,0.45,0.21,0.05,0.01,0.01,0.03,0.25,0.43,0.20,0.06,0.02,0.01,0.91,0.09,,,,
sabrinagarciarena,https://www.instagram.com/sabrinagarciarena,Si,6/11/2018,,1300000,Actor/Actress,Moms,,0.02,0.22,0.78,0.03,0.26,0.42,0.21,0.06,0.01,0.01,0.02,0.23,0.48,0.20,0.05,0.01,0.01,0.86,0.14,,,,
Santitalledo,https://www.instagram.com/Santitalledo,Parcial,7/3/32019,gsoffritti,566000,Actor/Actress,,,0.03,0.11,0.89,0.10,0.40,0.30,0.12,0.06,0.01,0.01,0.07,0.44,0.37,0.06,0.02,0.00,0.04,0.31,0.69,,,,
Santitalledo TK,https://www.tiktok.com/@santitalledo?lang=en,Parcial,10/14/2022,Santitalledo,86600,Actor/Actress,,,0.20,0.11,0.89,0.10,0.40,0.30,0.12,0.06,0.01,0.01,0.07,0.44,0.37,0.06,0.02,0.00,0.04,0.31,0.69,,,,
Sebastianestevanez,https://www.instagram.com/Sebastianestevanez,No,1/11/2022,candemolfese,697000,Actor/Actress,,,0.08,0.24,0.76,0.16,0.45,0.21,0.11,0.05,0.01,0.01,0.16,0.45,0.21,0.11,0.05,0.01,0.01,0.15,0.85,,,,
sebawainraichok,https://www.instagram.com/sebawainraichok,No,4/2/2020,polloalvarez,324000,Actor/Actress,,,0.03,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,
seefeld.martin,https://www.instagram.com/seefeld.martin,No,9/6/2020,rojas_benja,58700,Actor/Actress,,,0.08,0.45,0.55,0.03,0.24,0.45,0.21,0.05,0.01,0.01,0.03,0.25,0.43,0.20,0.06,0.02,0.01,0.91,0.09,,,,
seefeld.martin,https://www.instagram.com/seefeld.martin,No,1/3/2021,georgiemollo,43400,Actor/Actress,,,0.07,0.15,0.85,0.02,0.13,0.52,0.24,0.04,0.01,0.04,0.04,0.17,0.57,0.16,0.02,0.01,0.03,0.67,0.33,,,,
silvina_acosta,https://www.instagram.com/silvina_acosta,No,10/2/2020,griseldasiciliani,2876,Actor/Actress,,,0.01,0.16,0.84,0.02,0.23,0.42,0.23,0.07,0.02,0.01,0.03,0.29,0.45,0.17,0.04,0.01,0.01,0.87,0.13,,,,
sofaltuna,https://www.instagram.com/sofaltuna,No,10/6/2022,celes.salas,111000,Actor/Actress,,,0.53,0.59,0.41,0.09,0.42,0.30,0.11,0.06,0.01,0.01,0.13,0.38,0.25,0.14,0.07,0.01,0.02,0.77,0.23,,,,
sofaltuna TK,https://www.instagram.com/sofaltuna TK,No,10/6/2022,celes.salas,882300,Actor/Actress,,,0.07,0.33,0.67,0.09,0.42,0.30,0.11,0.06,0.01,0.01,0.13,0.38,0.25,0.14,0.07,0.01,0.02,0.77,0.23,,,,
sofielliot,https://www.instagram.com/sofielliot,No,1/15/2019,valentinagod,136000,Actor/Actress,LifeStyle,,0.02,0.11,0.89,0.02,0.25,0.44,0.20,0.06,0.02,0.01,0.04,0.34,0.44,0.11,0.04,0.02,0.01,0.53,0.47,0,,,
sofielliot Tk,https://www.instagram.com/sofielliot Tk,No,1/20/2022,sofielliot,34000,Actor/Actress,LifeStyle,,0.16,0.11,0.89,0.02,0.25,0.44,0.20,0.06,0.02,0.01,0.04,0.34,0.44,0.11,0.04,0.02,0.01,0.53,0.47,0,,,
sofipachano,https://www.instagram.com/sofipachano,Si,7/1/2021,,702000,Actor/Actress,Artist,,0.01,0.28,0.72,0.04,0.26,0.41,0.19,0.06,0.01,0.00,0.04,0.23,0.44,0.20,0.06,0.02,0.00,0.93,0.07,,,,
soyleonelasantana,https://www.instagram.com/soyleonelasantana,No,12/11/2020,paulachaves,88400,Actor/Actress,,,0.02,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,
soymaju,https://www.instagram.com/soymaju,Si,7/6/2021,,749000,Actor/Actress,,,0.02,0.19,0.81,0.01,0.12,0.43,0.32,0.09,0.02,0.01,0.01,0.09,0.47,0.32,0.08,0.02,0.01,0.96,0.04,0,,,
soymarcelatinayre,https://www.instagram.com/soymarcelatinayre,No,29/05/20,andreafrigeriook,134000,Actor/Actress,,,0.01,0.24,0.76,0.01,0.10,0.31,0.35,0.16,0.05,0.02,0.01,0.12,0.32,0.30,0.17,0.06,0.02,0.88,0.12,,,,
soymuni,https://www.instagram.com/soymuni,Si,2/4/2022,,314586,Actor/Actress,model,,0.00,0.33,0.67,0.03,0.30,0.44,0.17,0.04,0.01,0.01,0.05,0.30,0.48,0.14,0.02,0.01,0.00,0.70,0.30,0,,,
soythelmafardin,https://www.instagram.com/soythelmafardin,No,4/2/2020,candelivetrano,1000000,Actor/Actress,,,0.03,0.15,0.85,0.03,0.28,0.41,0.16,0.06,0.01,0.05,0.04,0.36,0.42,0.10,0.03,0.00,0.05,0.82,0.18,,,,
soyverollinas,https://www.instagram.com/soyverollinas,No,16/12/2019,petersoncarla,437000,Actor/Actress,,,0.05,0.18,0.82,0.03,0.27,0.45,0.18,0.05,0.01,0.01,0.02,0.25,0.47,0.19,0.05,0.01,0.01,0.91,0.09,,,,
stefroitman,https://www.instagram.com/stefroitman,Si,11/8/2019,,1500000,Actor/Actress,model,influencer,0.09,0.15,0.85,0.07,0.37,0.35,0.14,0.06,0.01,0.01,0.09,0.46,0.31,0.09,0.03,0.01,0.01,0.85,0.15,0,no,si,si
suredanacho,https://www.instagram.com/suredanacho,No,11/1/2021,guilera_juan,248000,Actor/Actress,Model,,0.09,0.11,0.89,0.03,0.25,0.47,0.17,0.06,0.02,0.01,0.02,0.31,0.49,0.14,0.03,0.00,0.01,0.80,0.20,,,,
tatoqd,https://www.instagram.com/tatoqd,No,7/12/2020,rochi_igarzabalok,602000,Actor/Actress,Model,,0.03,0.16,0.84,0.04,0.32,0.43,0.15,0.04,0.01,0.01,0.05,0.41,0.41,0.09,0.02,0.01,0.01,0.78,0.22,,,,
tedechina,https://www.instagram.com/tedechina,No,2/7/2020,soyverollinas,86600,Actor/Actress,,,0.03,0.18,0.82,0.03,0.27,0.45,0.18,0.05,0.01,0.01,0.02,0.25,0.47,0.19,0.05,0.01,0.01,0.91,0.09,,,,
tinistoessel,https://www.instagram.com/tinistoessel,No,12/21/2018,candemolfese,6147400,Actor/Actress,Celebrities,Music,0.03,0.24,0.76,0.16,0.45,0.21,0.11,0.05,0.01,0.01,0.16,0.45,0.21,0.11,0.05,0.01,0.01,0.15,0.85,0,no,si,si
tomaskirzner,https://www.instagram.com/tomaskirzner,No,2/21/2022,momigiardina,338000,Actor/Actress,,,0.00,0.17,0.83,0.05,0.29,0.39,0.17,0.05,0.01,0.04,0.05,0.29,0.39,0.17,0.05,0.01,0.04,0.92,0.08,,,,
umasalduende,https://www.instagram.com/umasalduende,No,5/15/2019,fioreladuranda,21700,Actor/Actress,,,0.00,0.18,0.82,0.06,0.30,0.32,0.19,0.08,0.03,0.02,0.09,0.37,0.32,0.15,0.05,0.01,0.01,0.85,0.15,,,,
valentinagoldzen,https://www.instagram.com/valentinagoldzen,Si,6/18/2019,,51700,Actor/Actress,,,0.21,0.34,0.66,0.06,0.30,0.30,0.19,0.10,0.03,0.02,0.11,0.38,0.25,0.16,0.07,0.01,0.02,0.73,0.27,,,,
